关键词,名称,sal,d,d1,d2
"爬虫
大数据
数据库
数据分析
python
五险一金
定期体检
员工旅游
年终奖金
专业培训
周末双休
带薪年假
全勤奖
节日福利
绩效奖金",Python开发工程师,12-20万/年,宁波,2年,本科
"补充医疗保险
定期体检
七险一金
带薪年假
带薪病假
免费健身",Python数据工程师-13435,1.5-2.1万·13薪,上海·黄浦区,2年,本科
"计算机
linux
开发
数学
docker
多线程
ai
分布式
人工智能
周末双休
五险一金
补充医疗保险
绩效奖金
年终奖金
定期体检
员工旅游
通讯补贴
餐饮补贴
交通补贴",Python开发工程师,1.2-2万,苏州·苏州工业园区,3-4年,本科
"数据库
css
html
javascript
测试用例
git
数据库设计
单元测试
docker
django
弹性工作
扁平化管理
五险一金
餐饮补贴
绩效奖金
年终奖金
免费零食饮料
周末双休
朝九晚六",Python开发工程师,1-1.8万,无锡·新吴区,3-4年,本科
,Python,1.5-1.7万·13薪,上海,2年,大专
"计算机
mysql
测试
redis
开发
c++
设计模式
数学
postgresql
django
五险一金
餐饮补贴
定期体检
专业培训
绩效奖金",Python,1.2-1.8万,南京,3-4年,大专
"python
软件工程师
五险一金
定期体检
公司旅游
绩效奖金
员工旅游
年终奖金",Python软件开发工程师,18-25万/年,上海·浦东新区,2年,本科
"python
爬虫
软件开发
软件工程师
电商
弹性工作
五险一金
绩效奖金
节日福利
专业培训
年终奖金
周末双休",Python爬虫工程师,1-1.5万,武汉·洪山区,3-4年,本科
"python
数据库
脏数据处理
单病种
计算机软件
医学
医疗信息化
django
餐饮补贴
弹性工作
专业培训
员工旅游
五险一金
绩效奖金",Python开发工程师,2-3万,上海·徐汇区,5-7年,本科
"计算机
linux
五险一金",Python工程师,1-1.5万·15薪,广州,3-4年,本科
"pytest
pyqt
python
五险一金
年终奖金
计件考核
多干多得
定期体检",Python工程师,1-1.5万·14薪,西安·高新技术产业开发区,3-4年,本科
"计算机
电子
linux
开发
编程
嵌入式
功能维护
3d打印行业
软件调测
python多线程
员工旅游
专业培训
绩效奖金
年终奖金
股票期权
五险
五险一金",Python,1.5-2万,成都·双流区,3-4年,大专
"ftp
sftp
api
numpy
pandas
matplotlib
orm
linux
sql
数据库
五险一金
餐饮补贴
补充医疗保险
定期体检
绩效奖金
企业年金
取暖补贴
免费健身房
防暑降温补贴",Python 开发工程师,1.5-3万,北京·海淀区,2年,本科
"后端开发
五险一金
年终奖金
绩效奖金
专业培训
员工旅游",Python开发工程师,1.3-1.6万·13薪,深圳·龙岗区,3-4年,本科
五险一金,python研发工程师（25-30万）,25-30万/年,宁波,3-4年,本科
"计算机
软件开发
自动化测试
接口开发
ai模型
Python
五险一金
双休",Python-AI模型部署,1.4-1.6万,上海·浦东新区,3-4年,本科
"五险一金
定期体检
年终奖金
周末双休
绩效奖金
带薪年假
节假日福利
提供食宿
高温补贴
结婚生子福利",软件开发工程师（python）,1.5-3万·14薪,杭州·临平区,2年,本科
"mysql
数据库
linux
c++
软件开发
windows
shell
Tornado
flask
pyqt5
五险一金
员工旅游
交通补贴
专业培训
绩效奖金
年终奖金
弹性工作",python开发,8千-1.5万,西安·高新技术产业开发区,5-7年,本科
五险一金,python研发工程师（25-30万）,25-30万/年,宁波,3-4年,本科
"2d
python编程
pyqt
qt
python
五险一金
补充医疗保险",Python,1-1.5万,武汉,2年,本科
"mysql
数据库
linux
数据结构
django
pandas
celery
查询
hana
python
五险一金
绩效奖金
年终奖金",Python,1.2-1.6万,上海,2年,本科
"计算机
编程
数学
ai
编程语言
算法
电信运营商
机器深度学习
数据处理
自然语言处理
五险一金
交通补贴
餐饮补贴
专业培训
通讯补贴",大模型（Python）开发工程师,1.5-2.5万·14薪,成都·高新区,3-4年,本科
"ai
深度学习
tensorflow
训练
深度学习框架
机器学习算法
数据处理
pytorch
数据标注
python
五险一金
年终奖金
员工旅游
弹性工作",Python开发工程师,1.5-3万·13薪,杭州·滨江区,2年,本科
"matlab
python
matplotlib
pandas
seaborn
五险一金
餐饮补贴
免费班车
绩效奖金
年终奖金",Python开发,1.1-1.7万,苏州·虎丘区,2年,本科
"linux
深度学习
开源框架
五险一金
员工旅游
年终奖金
定期体检
带薪年假
周末双休
专业培训
节日福利",python算法工程师（龙岗）,1-1.8万,深圳·龙岗区,3-4年,大专
"计算机
mysql
oracle
数据库
linux
半导体
运维
docker
etl
adc
五险一金
交通补贴
餐饮补贴
通讯补贴",Python开发工程师,1.5-2.8万·14薪,深圳·龙岗区,5-7年,本科
"linux
git
单元测试
ai
机器学习
深度学习
django
计算机科学
flask
机器学习算法
五险一金
双休
员工旅游",Python工程师（双休）,1-1.4万,广州·荔湾区,2年,本科
"计算机
软件工程
英语听说读写
测试数据
电池
算法实现
测试调试
自动化处理
python
五险一金
补充医疗保险
交通补贴
定期体检
年终奖金",Python开发工程师,1.1-2.2万·13薪,深圳·福田区,3-4年,本科
"python
数据处理
年终奖金
培训
五险一金
带薪年假",Python开发工程师,1-1.5万,深圳,2年,本科
"pandas
numpy
flask
后端开发
mysql数据库
金融
五险一金",Python后端开发工程师,1.1-1.8万,上海·静安区,3-4年,本科
"python库
python
餐饮补贴
绩效奖金
五险一金
补充医疗保险
股票期权",AI人工智能开发工程师（python),1.8-2.1万,北京·朝阳区,3-4年,本科
"计算机
linux
git
单元测试
ai
机器学习
深度学习
django
flask
机器学习算法
五险一金
员工旅游
年终奖金
定期体检
免费班车
补充公积金
补充医疗保险
交通补贴",Python工程师,1-1.9万,广州·荔湾区,3-4年,大专
"python
餐饮补贴
五险一金",Python开发工程师,8千-1.5万,淮安,3-4年,本科
"python
五险一金
交通补贴
通讯补贴",Python后台开发工程师,9千-1.2万,深圳·南山区,2年,大专
"python库
python
软件工程
餐饮补贴
绩效奖金
五险一金
补充医疗保险
股票期权",AI人工智能开发工程师（Python）,1.5-2万,武汉·洪山区,3-4年,本科
"网络
产品开发
操作系统
编程语言
负载均衡
golang
开源组件
产品落地
网络产品
运维开发
五险一金
餐饮补贴
专业培训
年终奖金
定期体检
包住
项目奖金
员工旅游
周末双休",Python开发工程师,1.2-1.8万,深圳·南山区,3-4年,本科
"计算机
mysql
编码习惯
代码
性能分析
编程习惯
rocksdb
设计质量
python
五险一金
餐饮补贴
弹性工作
年终奖金",Python高级开发工程师,2-3万·14薪,上海·嘉定区,5-7年,本科
"五险一金
员工旅游
交通补贴
餐饮补贴
通讯补贴",Python开发工程师(J13789),1-1.5万·13薪,武汉,2年,本科
"python
计算机
软件工程
数据结构算法
餐饮补贴
绩效奖金
五险一金
补充医疗保险
股票期权",AI人工智能开发工程师（Python）,1.4-2万,武汉·洪山区,3-4年,本科
"python
mysql
docker
chatGPT
做五休二
五险一金
绩效奖金
专业培训
带薪年假
全勤奖
节日福利
生日聚餐
季度聚餐
公司旅游",Python开发工程师,1.2-1.8万,上海·长宁区,3-4年,本科
"redis
sql
开发
svn
git
软件开发
django
ai
flask
python
五险一金
出国机会
年终奖金
弹性工作
定期体检",Python后端工程师,1-1.1万,南京·雨花台区,3-4年,本科
"计算机
mysql
oracle
linux
项目管理
postgresql
数据库开发
devops
go
运维管理
五险一金
专业培训
弹性工作
定期体检
年终奖金
绩效奖金",Python后台开发工程师,1.4-1.9万,深圳,3-4年,本科
"计算机
软件开发
后端服务
python
五险一金
员工旅游
年终奖金
绩效奖金",Python后台开发工程师,1.5-3万·13薪,合肥·经开区,3-4年,本科
"linux
python
网络编程
网络开发
上位机
工具链
五险一金
交通补贴
餐饮补贴
通讯补贴
定期体检
生日福利
节日福利
弹性工作
13薪/年
团队氛围好",Python开发工程师,2-3万·13薪,北京,3-4年,本科
"python
全栈
框架
数据库优化
Linux
Go
五险一金
补充医疗保险
员工旅游
通讯补贴
年终奖金
弹性工作
定期体检",Python开发工程师,2-3万,上海·徐汇区,3-4年,本科
"sqlserver
mysql
python编程
带薪年假
节日福利
员工福利
六险一金
周末双休
专业培训
定期体检
餐饮补贴
交通补贴",Python软件开发工程师,6千-1.2万,哈尔滨·南岗区,3-4年,本科
"项目
flask
python开发
python
django框架
五险一金
员工旅游
专业培训
年终奖金",初级python,8千-1.5万,深圳·龙岗区,2年,本科
"python
算法
机器学习
爬虫
后端开发
tornado
flask
fastapi",Python开发工程师,1.6-3.2万,深圳,3-4年,本科
"五险一金
年终奖金
股票期权
绩效奖金
定期体检",Python开发工程师,9千-1.8万,武汉·洪山区,3-4年,本科
"五险一金
餐饮补贴
绩效奖金
年终奖金
员工旅游
定期体检
免费班车
通讯补贴",Python软件工程师,1-1.4万,广州·黄埔区,3-4年,本科
"五险一金
绩效奖金
节日福利
专业培训
定期团建",Python开发工程师,8千-1万,青岛·黄岛区,3-4年,本科
"Odoo
python编程
五险一金
节日福利",Python开发工程师,1-1.5万·13薪,深圳·宝安区,3-4年,本科
"五险一金
定期体检
员工旅游
节日礼金",Python爬虫工程师,1.3-1.5万,深圳·福田区,3-4年,本科
"python
五险一金
员工旅游
专业培训
定期体检
餐饮补贴
年终奖金",Python开发工程师(J10095),1.3-2.5万,上海·杨浦区,3-4年,大专
"计算机
java
mysql
数据库
测试
redis
svn
c++
git
客户沟通
五险一金
弹性工作
餐饮补贴
周末双休",Python全栈工程师,7千-1.2万,长沙·岳麓区,1年,本科
"五险一金
交通补贴
餐饮补贴
专业培训
绩效奖金
年终奖金
定期体检",Python算法开发工程师,8千-1.5万,北京·朝阳区,1年,本科
"计算机
电子
linux
英语
文档编写
代码编写
docker
大数据
hadoop
Python
五险一金
补充医疗保险
弹性工作
专业培训
出国机会
定期体检
年终奖金",大数据平台开发（Python）,1.5-3万,北京·朝阳区,3-4年,硕士
"java
mysql
sql
调优
go
数据存储
python
爬虫
pgsql
问题分析
五险一金
弹性工作
环境好氛围好
双休，",Python爬虫工程师,1.5-2.5万,杭州·滨江区,2年,本科
"软件开发
软件工程师
Java
Python
五险一金
定期体检",Java/Python开发工程师,1.2-2万,上海·浦东新区,2年,本科
"java
mysql
jquery
linux
css
html
c++
git
js
c#
五险一金
餐饮补贴
定期体检
年终奖金",Python开发工程师,8千-1.5万·13薪,北京·顺义区,1年,大专
