关键词,名称,sal,d,d1,d2
"强化学习
python
五险一金
补充医疗保险
补充公积金
年终奖金
餐饮补贴
专业培训
绩效奖金
定期体检",强化学习算法工程师（base:北京）,2-4万,北京,3-4年,硕士
"python
c++
C#
halcon
opencv
五险一金
包吃
包住宿
年终奖金
绩效奖金",图像算法工程师,1.5-3万,昆山,3-4年,本科
"python
web后台
python开发
服务器上线
六险一金
下午茶
年终奖金
周末双休
餐饮补贴
绩效奖金
免费班车",pyhton后端开发（游戏服务端）,1-2万,广州·天河区,1年,本科
"电气开发
python开发
plc控制器
控制原理
项目进度管理
自动化设备
五险一金
餐饮补贴
专业培训
绩效奖金
年终奖金",资深电气工程师,1.3-1.8万·18薪,苏州,2年,硕士
"python
c++
定期体检
五险一金
年终奖金
专业培训
做五休二
节日福利
绩效奖金",算法工程师,3-4.5万·13薪,苏州·苏州工业园区,2年,硕士
"python
机器人
c++
五险一金
补充医疗保险
交通补贴
餐饮补贴
通讯补贴
年终奖金
定期体检
带薪年假
管理规范
周末双休",算法工程师（北京）,1.5-3万·13薪,北京·海淀区,3-4年,硕士
"python
机器人
c++
五险一金
通讯补贴
年终奖金
绩效奖金
住房补贴
年底双薪
弹性工作
交通补贴
每年多次调薪",视觉软件算法工程师,1-2万,深圳·龙岗区,3-4年,本科
"http协议
爬虫
网页抓取
网络数据抓取
五险
大小周休息",爬虫工程师,7-8千,广州·白云区,2年,大专
"python
c++
c#
halcon
pyqt
opencv
五险一金
定期体检
年终奖金
专业培训",视觉算法工程师,8千-1.6万·13薪,苏州·苏州工业园区,2年,硕士
"数据分析
pandas
tensorflow
pytorch
python
五险一金
绩效奖金
年终奖金
专业培训
出国机会
通讯补贴
员工旅游
免费班车
补充医疗保险
补充公积金",算法工程师,1.4-1.8万·15薪,深圳,1年,本科
"python
爬取
反爬
爬虫
五险一金
员工旅游
绩效奖金
年终奖金
周末双休
弹性工作
带薪年假
全勤奖
节日福利
专业培训",数据采集工程师,1.6-2.2万·14薪,深圳·南山区,1年,本科
"python
c#
winform
绩效奖金
五险一金",图像处理开发工程师,1.5-2万,上海·普陀区,3-4年,本科
"python
Matlab
五险一金
免费班车
年终奖金
提供住宿
专业培训
员工旅游",动脉硬化算法工程师,1.5-2.5万,深圳·龙华区,3-4年,本科
"linux下c
机器人
python
算法
五险一金
周末双休
餐饮补贴
绩效奖金
年终奖金",机器人AI研发工程师,3-5万·13薪,武汉·洪山区,2年,硕士
"python
c++
tensorflow
传感器
AGV
ARM
五险一金
补充公积金
年终奖金
弹性工作
定期体检
员工旅游",控制算法工程师,1.2-2.4万,武汉,3-4年,本科
"道路模型
lcc
python
c++
五险一金
餐饮补贴
年终奖金
补充医疗保险
通讯补贴",ADAS车道线应用算法工程师(J20224),1.5-3万,杭州·滨江区,2年,硕士
"c++
目标检测
opencv
pytorch
python
五险一金
员工旅游
绩效奖金
专业培训
年终奖金",图像算法工程师,2.5-4万,苏州·吴中区,3-4年,博士
"linux
计算机
爬虫框架
爬虫
五险一金
年终奖金",爬虫工程师,1.2-2.2万,成都·双流区,3-4年,大专
"编程
linux
python
C++
做五休二
带薪年假
五险一金
加班补贴
节日福利
餐饮补贴
年度体检
员工旅游
生日福利
全年14薪",应用工程师,5千-1万·14薪,常州,2年,本科
"数据可视化
python编程
五险一金
定期体检
专业培训
弹性工作
绩效奖金",数据分析,1.3-1.8万,杭州·滨江区,3-4年,本科
"opencv
目标检测
python
五险一金
补充公积金
员工旅游
绩效奖金
年终奖金
弹性工作
定期体检
专业培训
餐饮补贴
通讯补贴",智能人脸识别,1-1.5万,深圳·龙岗区,1年,本科
"labview
vb
python
五险一金
年终奖金
做五休二
包吃包住
定期体检
员工旅游",测试自动化开发工程师,1.2-2.2万,东莞,3-4年,大专
"数据分析
数据库
python
7小时，5.5天
带薪年假
绩效奖金
节日福利
专业培训
餐饮补贴
扶持创业
五险一金",数据挖掘/建模工程师,8千-1.3万·13薪,东莞·南城区,1年,本科
"python
UiPath
VBA
周末双休
五险一金
补充医疗保险
员工旅游
交通补贴
通讯补贴
年终奖金
定期体检",RPA Specialist,8千-1万·14薪,长春,2年,本科
"计算机
python
java",测试开发工程师,1.5-2.5万·15薪,上海,3-4年,本科
"图像算法
Pytorch
Python
TensorFlow",图像算法工程师,1.5-2.5万,成都·金牛区,3-4年,硕士
"c++
嵌入式
数据库
python
技术奖金
项目奖金
五险一金
员工旅游
通讯补贴
专业培训
年终奖金
绩效奖金
股票期权
可提供住宿",软件工程师,15-30万/年,上海·松江区,2年,本科
"计算机
缓存
数据收集整理
爬取
反爬虫
验证码识别
python
爬虫
五险",爬虫工程师,8千-1.2万,重庆·南岸区,2年,本科
"数据分析
powerbi
python
免费工作餐",数据分析师,1.5-2.5万,上海·浦东新区,3-4年,本科
"c++
python
场景创建
五险一金
年终奖金
定期体检",软件工程师,1.8-2.2万,上海·宝山区,3-4年,本科
"计算机
mysql
数据去重
反爬
爬虫
python
linux
oracle数据库
敏感词",爬虫工程师,1-1.8万,武汉·江夏区,2年,本科
"计算机
mysql
linux
redis
kafka
多线程
抓包
信息技术
开发设计
任务调度
五险一金
员工旅游
专业培训
定期体检
餐饮补贴
年终奖金",爬虫工程师(J10099),1.5-2万,上海·杨浦区,3-4年,本科
"java
python
机器学习框架
pytorch
年终奖金
弹性工作
六险一金
专业培训
周末双休",全栈开发工程师,1.6-2.3万,广州·海珠区,3-4年,本科
"Python
Flink
Spark
阿里云
数据架构
12天年假
补充医疗保险
餐饮补贴
定期体检",实时大数据开发,2.3-3万·13薪,上海·浦东新区,5-7年,本科
"c++
算法设计
英语
Python
五险一金
弹性工作
专业培训
晋升空间
年终奖金
补充医疗保险
定期体检",C++算法 & 开发 工程师,2-2.2万·14薪,大连·甘井子区,1年,本科
"tensorflow
python
c++
OpenCV
五险一金
补充公积金
年终奖金
弹性工作
定期体检
员工旅游",感知系统调试工程师,1.1-2.1万,武汉,1年,本科
"爬虫抓取
反爬
数据挖掘
爬虫系统
数据库
架构设计
python",高级数据爬虫工程师,1-2万,武汉·江夏区,3-4年,本科
"五险一金
免费班车
交通补贴
餐饮补贴
专业培训
年终奖金
定期体检
周末双休
提供宿舍",自然语言处理,2-4万,成都·高新区,无需经验,本科
"python
c++
3D视觉
六险一金
包吃包住
项目奖
专利奖
专业培训
年度旅游
节日福利
团队活动丰富
五天工作制
晋升机会",算法工程师（3D视觉方向）,8千-1.6万·13薪,东莞·大朗镇,1年,本科
"Pandas
NumPy
python
数据分析
SciPy
五险一金
弹性工作
定期体检
年终奖金
周末双休
节日福利
法定年休假",数据分析师,8千-1.5万·13薪,北京·海淀区,1年,本科
"数据库
linux
css
redis
js
电商
mongodb
入库
理工
供应链
五险一金
绩效奖金
节日福利
水果下午茶
扁平化管理
加班补贴",爬虫工程师/数据采集工程师(本科)(J10585),1.2-1.8万,深圳·福田区,3-4年,本科
"数据采集
Python
k8s
docker
五险一金
员工旅游
国际团队
周末双休
弹性上班
下午茶
生日会
不加班",Data Acquisition Engineer,2-3.5万,上海·普陀区,3-4年,本科
"java
数据库
spring
mybatis
dubbo
linux
微服务
redis
五险一金
补充医疗保险
补充公积金
通讯补贴
年终奖金
餐饮补贴
绩效奖金
定期体检
弹性工作
专业培训",机器学习工程师,8千-1.5万·13薪,北京·海淀区,1年,大专
"python
django
MySQL
Git
五险一金
免费班车
员工旅游
餐饮补贴
专业培训
绩效奖金
年终奖金
定期体检",后端开发工程师,7千-1万·13薪,广州·黄埔区,1年,大专
"python
电力
气象
数据
五险一金
年终奖金
绩效奖金
股票期权
弹性工作
工作时间短",算法工程师,1.8-2.4万·15薪,北京·海淀区,无需经验,硕士
"python
shell
芯片手册
linuxkernel
五险一金
员工旅游
专业培训
弹性工作
定期体检",软件工程师(BSP开发),1.8-3.5万,上海·徐汇区,3-4年,本科
"java
数据库
spring
mybatis
dubbo
linux
微服务
redis
五险一金
补充医疗保险
补充公积金
通讯补贴
年终奖金
餐饮补贴
绩效奖金
定期体检
弹性工作
专业培训",机器学习工程师,8千-1.5万·13薪,北京·海淀区,1年,大专
"数据采集
数据采集系统
爬虫框架
反爬
五险一金
绩效奖金
交通补贴
专业培训
弹性工作
餐饮补贴",爬虫开发工程师,1.2-1.6万,重庆·巴南区,5-7年,本科
"python开发
pytest
gui
QT
C++
五险一金
员工旅游
餐饮补贴
年终奖金
弹性工作
定期体检",高级软件开发工程师,2-3万·13薪,上海,3-4年,本科
"visionPro
halcon
python
五险一金
免费班车
通讯补贴
年终奖金
绩效奖金
定期体检
带薪年假
包食宿
节日福利
周末双休",视觉工程师,1-1.8万·13薪,武汉·东湖新技术产业开发区,3-4年,本科
"java
数据库
spring
mybatis
dubbo
linux
微服务
redis
五险一金
补充医疗保险
补充公积金
通讯补贴
年终奖金
餐饮补贴
绩效奖金
定期体检
弹性工作
专业培训",机器学习工程师,8千-1.5万·13薪,北京·海淀区,1年,大专
"linux
python
gcc
shell
java
c++
五险一金
弹性工作
补充医疗保险
免费班车",C++开发工程师,2-3万,北京,10年以上,本科
"c++
python
周末双休
员工旅游
餐饮补贴
年终奖金
定期体检
五险一金",软件工程师,1-2万,佛山·顺德区,1年,硕士
"python
机器人
c++
五险一金
员工旅游
交通补贴
餐饮补贴
绩效奖金
年终奖金
带薪年假
技能培训
岗位晋升
良好团队氛围",算法工程师,1.6-3万,上海,3-4年,硕士
"java
数据库
spring
mybatis
dubbo
linux
微服务
redis
五险一金
补充医疗保险
补充公积金
通讯补贴
年终奖金
餐饮补贴
绩效奖金
定期体检
弹性工作
专业培训",机器学习工程师,8千-1.5万·13薪,北京·海淀区,1年,大专
"etl
Python
GCP
银行数据
年终奖金
弹性工作
六险一金
专业培训
周末双休",数据开发工程师,1.7-2.3万,广州·海珠区,5-7年,本科
"计算机
opencv
python
五险一金
餐饮补贴
定期体检
绩效奖金
年终奖金
弹性工作
员工旅游
专业培训
通讯补贴",图像算法工程师(前端一部),8千-1.6万,天津,无需经验,本科
"c++
python
周末双休
员工旅游
餐饮补贴
年终奖金
定期体检
五险一金",软件工程师,1-2万,佛山·顺德区,1年,硕士
"java
数据库
spring
mybatis
dubbo
linux
微服务
redis
五险一金
补充医疗保险
补充公积金
通讯补贴
年终奖金
餐饮补贴
绩效奖金
定期体检
弹性工作
专业培训",机器学习工程师,8千-1.5万·13薪,北京·海淀区,1年,大专
"hadoop
数据库
数据分析
机器学习
大数据平台
五险一金
年终奖金
绩效奖金
专业培训
股票期权",大数据及 机器学习工程师,1.5-2万·13薪,苏州,2年,本科
"机器人
大小颗粒
python
五险一金
餐饮补贴
弹性工作
绩效奖金",少儿编程老师,8千-1.3万,广州·番禺区,1年,本科
"c++
python
周末双休
员工旅游
餐饮补贴
年终奖金
定期体检
五险一金",软件工程师,1-2万,佛山·顺德区,1年,硕士
"java
数据库
spring
mybatis
dubbo
linux
微服务
redis
五险一金
补充医疗保险
补充公积金
通讯补贴
年终奖金
餐饮补贴
绩效奖金
定期体检
弹性工作
专业培训",机器学习工程师,8千-1.5万·13薪,北京·海淀区,1年,大专
"python
java
linux
sql
五险一金
绩效奖金
节日福利
做五休二
专业培训
员工旅游",自动化测试,1.1-1.6万,深圳·福田区,5-7年,大专
"数据分析
python
sql
linux
五险一金
补充公积金
员工旅游
绩效奖金
年终奖金
弹性工作
定期体检
专业培训
餐饮补贴
通讯补贴",数据采集,1-1.3万,深圳·龙岗区,1年,本科
"c++
python
周末双休
员工旅游
餐饮补贴
年终奖金
定期体检
五险一金",软件工程师,1-2万,佛山·顺德区,1年,硕士
"perl
python
半导体器件
五险一金
员工旅游
餐饮补贴
通讯补贴
专业培训
年终奖金
定期体检",器件建模主任工程师(J10664),1.8-3.5万·16薪,上海·闵行区,8-9年,本科
"MySQL
Python
Linux
数据仓库
DW/BI
五险一金
补充医疗保险
补充公积金
交通补贴
通讯补贴
年终奖金
定期体检",数据开发工程师（成都）,9千-1.4万,成都·锦江区,2年,本科
"c++
python
五险一金
弹性工作
定期体检
交通补贴
专业培训",后端开发工程师,1-1.5万·13薪,上海·闵行区,1年,本科
"c++
python
周末双休
员工旅游
餐饮补贴
年终奖金
定期体检
五险一金",软件工程师,1-2万,佛山·顺德区,1年,硕士
"c++
halcon
python
机器人
视觉
五险一金
年终奖金
员工旅游
弹性工作",机器视觉工程师,2-2.5万·15薪,惠州·惠城区,3-4年,大专
"python
opencv
五险一金
带薪年假
周末双休
包住宿
绩效奖金
节日福利
专业培训",视觉算法工程师（双休+五险一金）,1.2-2.2万·13薪,深圳·南山区,1年,大专
"做五休二
商业保险
餐饮补贴
补充医疗保险
五险一金
交通补贴",爬虫工程师（六险二金）,1-1.8万,南京·浦口区,2年,本科
"c++
python
周末双休
员工旅游
餐饮补贴
年终奖金
定期体检
五险一金",软件工程师,1-2万,佛山·顺德区,1年,硕士
"Linux
shell
python
mysql
php
周末双休
绩效奖金
五险一金
带薪年假
定期体检
年终奖金
专业培训
员工旅游
节日福利
包住宿",网站管理工程师,8千-1.2万,深圳·福田区,2年,本科
"c++
linux
java
python
shell
晶圆厂
五险一金
免费班车
专业培训
年终奖金
定期体检
绩效奖金
补充商业险",晶圆厂MES工程师,1.5-2万·13薪,重庆,5-7年,本科
"架构设计
c++
python
算法
五险一金
通讯补贴
定期体检
年终奖金
周末双休",系统架构师,2.5-5万,广州·天河区,5-7年,硕士
"c++
python
周末双休
员工旅游
餐饮补贴
年终奖金
定期体检
五险一金",软件工程师,1-2万,佛山·顺德区,1年,硕士
"sql
网络协议
python框架
弹性工作",运维工程师（外包上海吉联）,1-1.3万,上海·浦东新区,2年,大专
"spark
hadoop
hive
Java
python
五险一金
周末双休
餐饮补贴
定期体检",数据开发工程师,1.5-2.8万·13薪,广州,1年,本科
"mybatis
dubbo
java
数据库
spring
linux
微服务
redis
web
软件测试
五险一金
补充医疗保险
补充公积金
通讯补贴
餐饮补贴
专业培训
绩效奖金
年终奖金
弹性工作
定期体检",爬虫开发工程师,8千-1.5万·13薪,北京·朝阳区,1年,大专
"python
matlab
算法
五险一金
节日福利
季度团建",通信算法工程师,1.5-3万·13薪,深圳·南山区,1年,本科
"数据库
python
linux
五险一金
绩效奖金
定期体检
补充医疗保险",开发运维工程师,7千-1.4万,济南·高新区,1年,本科
"sql
python
spss
amos
数据库
五险一金
交通补贴
餐饮补贴
专业培训
绩效奖金
年终奖金",质量研究工程师/技术支持工程师,7.5千-1万,广州·黄埔区,1年,本科
"仿真接口
3D图形
Python
Qt
五险一金
补充医疗保险
员工旅游
交通补贴
绩效奖金
年终奖金
定期体检
餐饮补贴
通讯补贴
专业培训",C++开发工程师,1-2万·15薪,成都·锦江区,3-4年,本科
"分析市场数据
市场信息收集
数据支持
市场数据
分析市场信息
数据分析
五险",数据爬虫工程师,8千-1.2万,重庆·南岸区,2年,本科
"数据分析
bi分析
数据管理
python
五险一金",数据分析师,8千-1.5万,广州,1年,硕士
"sql
python
数据库
五险一金
定期体检
交通补贴
餐饮补贴
补充医疗保险
绩效奖金
专业培训",编目数据应用与实施  通用物资编目研究部,1.2-2万,北京,2年,硕士
"数据库运维
python
oracle
五险一金
定期体检
专业培训",DBA运维工程师-汉口北,1-1.5万,武汉,5-7年,本科
"shell
redis
python
五险一金
交通补贴
餐饮补贴
通讯补贴
绩效奖金
年终奖金
带薪年假
住房补贴
体检",高级运维开发工程师,1.5-2.5万,上海,3-4年,本科
"补充医疗保险
定期体检
七险一金
带薪年假
带薪病假
免费健身",初级数据工程师-6321,1.5-2.2万·13薪,上海,1年,本科
"java
c#
开发
python
C++
五险一金
年终奖金
定期体检
年节福利",Java开发工程师 （直签岗）,1.5-2万·14薪,上海·徐汇区,2年,本科
"python
linux
shell
docker
系统运维
五险一金
员工旅游
餐饮补贴
年终奖金
做五休二",高级运维工程师,1.3-1.8万,上海·普陀区,3-4年,本科
"sql
python
数据库
五险一金
绩效奖金
餐补
通讯补贴
带薪年假
补充医疗保险
定期体检
节日福利",资产管理中心-量化投资部-数据开发工程师G00784,1.5-3万,上海,2年,硕士
"补充医疗保险
定期体检
七险一金
带薪年假
带薪病假
免费健身",初级AI 测试部署工程师-8338,1.5-2万·13薪,上海,1年,本科
"java
incam
perl
python
linux
cam
mi
csh
genesis
年终奖金
定期体检
五险
提供免费食宿
有加班费
绩效奖金",程序维护经理,2.5-3万,中山,8-9年,本科
"java
web
it技术支持
web3
数据汇总
管理",web3技术员,4-8千,成都·青羊区,2年,本科
"HTML
JavaScript
CSS
PHP
software
SQL
VBA
Python
HPS
五险一金
补充医疗保险
交通补贴
绩效奖金
年终奖金
定期体检
免费班车
员工旅游
商业保险","Software Engineer, HPS",8千-1.2万·13薪,丹东,2年,本科
"下午茶
健身瑜伽
六险一金
股票期权
团队氛围好
晋升空间大
带薪休假
扁平管理
用户过亿
大牛带队",算法工程师-Pangle行业优化（北京）,3-6万,北京,无需经验,本科
"linux
c++
php
java
Python
五险一金
专业培训
定期体检
员工旅游",Linux C/C++高级软件工程师（松江）,2.4-3万,上海·松江区,5-7年,本科
"java
python
开发语言
五险一金
补充医疗保险
补充公积金
年终奖金
定期体检",Devops工程师,1.1-2万,南京,3-4年,本科
"HTML
JavaScript
CSS
PHP
software
SQL
VBA
Python
HPS
五险一金
补充医疗保险
交通补贴
绩效奖金
年终奖金
定期体检
免费班车
员工旅游
商业保险","Software Engineer, HPS",8千-1.2万·13薪,丹东,2年,本科
"数据分析
html
sql
vue
前端
机器学习
powerbi
前后端开发
前端界面
计算机视觉
五险一金
带薪年假
节假日福利
专业培训
周末双休
补充医疗保险
定期体检
弹性工作",数据分析与前后端开发,1.4-2万·13薪,上海·长宁区,2年,本科
"五险一金
专业培训
绩效奖金
年终奖金
弹性工作
定期体检
带薪年假
生日礼金
节假日礼金",数据采集工程师.数据中台,4-8千,重庆·渝北区,1年,本科
"爬虫
架构设计
爬虫开发
爬虫系统
开发
带薪年假
节日福利
社保
餐饮补贴
年终奖金
绩效奖金",爬虫工程师,6千-1.2万,广州·番禺区,1年,大专
"HTML
JavaScript
CSS
PHP
software
SQL
VBA
Python
HPS
五险一金
补充医疗保险
交通补贴
绩效奖金
年终奖金
定期体检
免费班车
员工旅游
商业保险","Software Engineer, HPS",8千-1.2万·13薪,丹东,2年,本科
"python
labview
fpga
c++
linux
嵌入式开发
五险一金
带薪年假
节日福利
朝九晚六",软件工程师,8千-1.2万,苏州·苏州工业园区,1年,大专
"五险一金
补充公积金
员工旅游
定期体检
年终奖金
商业医疗保险
弹性工作
绩效奖金
餐饮补贴
健身补贴",数据工程师,1.2-1.8万,上海·嘉定区,1年,本科
"编程
算法
数据支持
数据结构算法
数据抓取
代码习惯
数据采集清洗
网络爬虫
抓取
pyspider
五险一金
员工旅游
专业培训
节日福利
带薪年假",电商爬虫工程师,7千-1.2万,宁波·江北区,1年,本科
"数据分析
数据清洗
数据管理
三维模型
python
数据处理
五险一金
绩效奖金
通讯补贴
年终奖金",数据工程师（元宇宙方向）,1.5-3万,北京·朝阳区,1年,本科
爬虫工程师,爬虫工程师,8千-1.6万,深圳,3-4年,大专
"五险一金
交通补贴
餐饮补贴
通讯补贴
年终奖金
定期体检
弹性工作
员工旅游",RPA开发工程师(J10021),1-1.5万,北京·西城区,2年,本科
"自动化测试
爬虫架构
scrapy
python
五险一金
交通补贴
餐饮补贴
专业培训
年终奖金
定期体检
员工旅游
全勤奖
节日福利
通讯补贴",软件测试工程师（兼爬虫工作）,10-17万/年,宁波,2年,大专
"java
bmc
c++
linux
shell
python
五险一金
餐饮补贴
年终奖金",BMC开发工程师,1.2-2.4万·15薪,深圳·龙华区,1年,本科
"数据分析
提取分析
网络爬虫
绩效奖金
弹性工作
交通补贴",初级爬虫工程师,4-8千,成都·高新区,1年,本科
"python
数据分析
数据库
SQL
五险一金
绩效奖金
交通补贴
专业培训
弹性工作",数据分析经理,2-3万,上海·静安区,5-7年,本科
"redis
shell
员工旅游
专业培训
绩效奖金
年终奖金
定期体检
五险
餐饮补贴",爬虫工程师,1.2-1.5万·13薪,成都·武侯区,3-4年,本科
"c++
python
java
带薪年假
五险一金
包住宿
包吃
免费班车
绩效奖金
节日福利
专业培训
加班补贴",ATE 测试开发专家,3-4万·13薪,上海·浦东新区,10年以上,本科
"计算机
数据库
数据采集
爬虫
反爬虫
python
数据处理
java
爬虫框架
面谈
周末双休
带薪年假
节日福利",数据采集/清洗工程师,4-8千·13薪,江门,1年,大专
"五险一金
交通补贴
通讯补贴
专业培训
绩效奖金
年终奖金
定期体检
弹性工作",大数据开发工程师.非晓,1.2-2.2万,重庆·渝北区,无需经验,本科
"爬虫
powerbi
tableau
python
sql
五险一金
年终奖金
员工旅游
专业培训
带薪年假
做五休二
周末双休
节日福利
绩效奖金
员工体检",市场数据分析主管,8千-1.2万·13薪,苏州·吴中区,5-7年,本科
"linux
存储系统
虚拟化系统
python
监控系统部署
五险一金
补充医疗保险
补充公积金
交通补贴
餐饮补贴
通讯补贴
专业培训
出国机会
年终奖金
绩效奖金",Linux系统工程师,1.2-2万·15薪,上海,5-7年,大专
"rpa
网络爬虫
五险一金
绩效奖金",初级RPA开发工程师,6千-1万,广州,1年,大专
"带薪年假
高温补贴
专业培训
节日福利
包午餐
年底分红
生日礼品",爬虫工程师,1.2-2万,重庆,3-4年,大专
"入库
数据采集
采集数据
统计分析数据
结构化
持续运营
采集策略
处理性能
性能优化
五险一金
绩效奖金",数据采集工程师,1-1.5万,成都,3-4年,大专
"低代码
自动化
RPA
***本科以上
JavaScript
python
周末双休
五险一金
补充医疗保险
带薪年假
年终奖金
免费班车",500强外企-低代码开发,1-2万,上海·长宁区,1年,本科
"数据
数据库
数据处理
五险一金
节日福利
弹性工作
绩效奖金
年终奖金",数据处理工程师,7-9千,上海·宝山区,1年,本科
"计算机
java
mysql
linux
redis
调试
js
android
selenium
kafka",爬虫工程师,2-3万·17薪,杭州,3-4年,大专
"mysql
spring
linux
sql
vue
git
react
餐饮补贴
专业培训
弹性工作
年终奖金
绩效奖金
员工旅游
五险",后端开发工程师,7千-1万,合肥·高新区,1年,本科
"计算机
调试
c++
方案设计
通讯
opencv
脚本语言
算法设计
迭代优化
ai算法",AI工程师,5.6-8千,佛山·南海区,1年,大专
"报表
机器学习
grafana
分析工具
图表
kibana
模型训练
报表开发
五险一金
员工旅游
绩效奖金
年终奖金
定期体检",AI数据工程师,1-2万,上海·普陀区,1年,本科
"数据分析
BI
Tableau
SQL/NoSQL
Azure
统计学
Python
应用数学
Minitab/SAS
SPSS
五险一金
员工旅游
年终奖金
弹性工作
定期体检
专业培训
节假日福利
股票期权
免费班车
出国机会",Researcher 研究员（数据分析方向）,1.5-3万·14薪,上海·闵行区,无需经验,硕士
"爬虫
python
餐饮补贴
专业培训
绩效奖金
年终奖金
五险一金
交通补贴
定期体检
弹性工作
下午茶
健身俱乐部",爬虫开发工程师,1.1-1.8万,杭州·西湖区,3-4年,本科
"自动化测试
shell
Python
c++
五险一金
补充公积金
补充医疗保险
交通补贴
餐饮补贴
通讯补贴
定期体检
绩效奖金",自动化测试工程师,20-30万/年,上海·浦东新区,3-4年,本科
"计算机
测试
开发
自动化
c++
编程
电子信息
技术交流
产品培训
项目维护
五险一金
年终奖金
绩效奖金",算法运维工程师,6千-1万,广州·海珠区,1年,大专
"pytorch
python
c++
五险一金
员工旅游
绩效奖金
年终奖金
带薪年假",高级NLP算法工程师,2-4万,武汉,3-4年,本科
"编程
tensorflow
caffe
python
pytorch
c++
五险一金
补充公积金
餐饮补贴
弹性工作
年终奖金
绩效奖金
员工旅游
专业培训",强化学习算法工程师,1.2-1.5万·13薪,深圳,2年,本科
"python
pipeline
c++
ncnn
五险一金",AI算法落地工程师,1.5-3万,上海·嘉定区,3-4年,本科
,大数据工程师,1-1.5万,郑州·中原区,3-4年,大专
"java
数据库
数据分析
需求分析
c++
数据库设计
统计分析
医疗健康
生物信息
检测报告
做五休二
五险一金
绩效奖金
专业培训",数据模型岗,1.5-2万,深圳·南山区,1年,本科
"技术
自动化
数学
软件
电子
互联网
应届生
信息技术
硬件
化学
周末双休
带薪年假
五险一金
包住宿
餐饮补贴
节日福利
绩效奖金
补充医疗保险
定期体检",爬虫技术员/双休/住宿,0.8-1万,深圳·龙华区,1年,大专
"c++
pytorch
tensorflow
python
五险一金
补充医疗保险
员工旅游
股票期权
弹性工作
定期体检
绩效奖金
年终奖金",ISP图像算法工程师,2-4万·14薪,杭州·余杭区,3-4年,本科
"python
c++
五险一金
补充医疗保险
补充公积金
交通补贴
餐饮补贴
通讯补贴
专业培训
出国机会
年终奖金
绩效奖金",算法工程师,2-3.5万·15薪,上海,2年,本科
"oracle
python
rpa开发
rpa
Selenium
周末双休",RPA开发工程师 (007594),1-1.3万,广州·越秀区,3-4年,大专
"solidworks
编程
电路设计
电气工程
autocad
python
养老保险
失业，工伤
包吃住
单休",电气工程师,8千-1.3万,宜春,3-4年,大专
"matlab
sas
spss
python
工程优化
餐饮补贴
专业培训
员工旅游
五险一金
年终奖金",云平台工程师,1.5-3万,上海·闵行区,3-4年,本科
"python
计算机
tensorflow
弹性工作
周末双休
地铁周边
五险一金
定期体检
年终奖金
节日福利",机器学习工程师,1.5-2.5万·13薪,成都,3-4年,硕士
"c#
python编程
python
五险一金
定期体检
餐饮补贴
弹性工作
专业培训
五天八小时",测试开发工程师（测试设备）,8千-1.5万,东莞·洪梅镇,2年,大专
"python
c++
TensorFlow
Caffe
PyTorch
OpenCV
五险一金
补充公积金
年终奖金
弹性工作
定期体检
员工旅游",感知算法工程师,1.5-2.6万,武汉,2年,本科
"数据库
数据分析
sql
python
五险一金
绩效奖金
专业培训
定期体检",研究工程师,1.5-2.5万,深圳·龙华区,2年,本科
"python
计算机
tensorflow
弹性工作
周末双休
地铁周边
五险一金
定期体检
年终奖金
节日福利",机器学习工程师,1.5-2.5万·13薪,广州,3-4年,硕士
"python
caffe
pytorch
医疗器械
年终奖金
五险一金
员工旅游
出国机会
定期体检
弹性工作
绩效奖金",高级图像算法工程师,2-4万,嘉兴·嘉善县,2年,硕士
"python
机器人
c++
五险一金
补充医疗保险
餐饮补贴
通讯补贴
绩效奖金
弹性工作
定期体检
交通补贴",算法工程师,1.5-2万·14薪,上海·松江区,2年,本科
"python
sql
数据分析
五险一金
补充医疗保险
通讯补贴
年终奖金
绩效奖金
定期体检",数据分析师,9千-1.2万,武汉·江汉区,2年,本科
"linux
c++
ros
Python
机器人系统
年终奖金
带薪年假
年度调薪
五险一金
包吃包住
利润分红
节日福利
公费旅游
水电补贴
文娱健身",ROS开发工程师,1-1.7万·13薪,江门,2年,本科
"c++
opencv
python
tensorflow
pytorch
caffe
五险一金
员工旅游
年终奖金
绩效奖金
弹性工作
定期体检
专业培训",图像算法工程师,1.2-2.4万,武汉,3-4年,本科
"机器人
c++
python
视觉
五险一金
定期体检
周末双休
专业培训
年终奖金
餐饮补贴
绩效奖金
通讯补贴",视觉算法工程师,1.5-3万,宁波,3-4年,本科
"tensorflow
caffe
keras
PyTorch
OpenAI
ChatGPT
Finetune
AI
Python
五险一金
年终奖金
定期体检
交通补贴
通讯补贴
餐饮补贴
专业培训
绩效奖金
员工旅游
提供食宿",AI负责人,4-6万·13薪,深圳,3-4年,本科
"c++
机器视觉
python
五险一金
餐饮补贴
绩效奖金
定期体检",软件开发工程师（上海）,1-2万·13薪,芜湖·弋江区,3-4年,本科
"知识图谱
c++
python
五险一金
带薪年假
绩效奖金
专业培训
免费班车
工作餐
免费宿舍",知识图谱工程师,1.5-2万·15薪,长沙,1年,硕士
"python
机器人
c++
五险一金
补充医疗保险
交通补贴
餐饮补贴
通讯补贴
年终奖金
定期体检
带薪年假
管理规范
周末双休",算法工程师（常州）,1-2万·13薪,常州·金坛区,3-4年,硕士
