图片,名称,sal,d,d1,d2,名称_链接,名称3,dc,dc4,dc5,关键词
https://img01.51jobcdn.com/fansImg/CompLogo/5/4026/4025283/4025283_300.jpg?637549428846952451,RPA开发工程师(J10021),1-1.5万,北京·西城区,2年,本科,https://jobs.51job.com/all/coAmAGYgNiADsHYAVuVDI.html,珠海金智维信息科技有限公司,计算机软件,民营,500-1000人,"五险一金
交通补贴
餐饮补贴
通讯补贴
年终奖金
定期体检
弹性工作
员工旅游"
https://img01.51jobcdn.com/fansImg/CompLogo/3/2370/2369551/2369551_300.jpg?637443125282532570,软件测试工程师（兼爬虫工作）,10-17万/年,宁波,2年,大专,https://jobs.51job.com/all/coCGwHYAJnU2QDYwBmXDg.html,宁波渠成集团有限公司,贸易/进出口,民营,500-1000人,"自动化测试
爬虫架构
scrapy
python
五险一金
交通补贴
餐饮补贴
专业培训
年终奖金
定期体检
员工旅游
全勤奖
节日福利
通讯补贴"
https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/home_logo_default.png,BMC开发工程师,1.2-2.4万·15薪,深圳·龙华区,1年,本科,https://jobs.51job.com/all/coBGdcO1c3UWYOYlE1Vjs.html,宝德计算机系统股份有限公司,计算机硬件,民营,1000-5000人,"java
bmc
c++
linux
shell
python
五险一金
餐饮补贴
年终奖金"
https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_software.png,初级爬虫工程师,4-8千,成都·高新区,1年,本科,https://jobs.51job.com/all/coB2RcMVQ_U2xWNAdsAGA.html,成都匠翎信息技术有限公司,计算机软件,民营,50-150人,"数据分析
提取分析
网络爬虫
绩效奖金
弹性工作
交通补贴"
https://img01.51jobcdn.com/fansImg/CompLogo/3/2938/2937138/2937138_300.png?637150269816665035,数据分析经理,2-3万,上海·静安区,5-7年,本科,https://jobs.51job.com/all/coVjJWOwNjVG0CZgVlAWw.html,旗天科技集团股份有限公司,多元化业务集团公司,已上市,500-1000人,"python
数据分析
数据库
SQL
五险一金
绩效奖金
交通补贴
专业培训
弹性工作"
https://img01.51jobcdn.com/fansImg/CompLogo/9/8091/8090217/382295943067026024304_300.png?1692681142000,爬虫工程师,1.2-1.5万·13薪,成都·武侯区,3-4年,本科,https://jobs.51job.com/all/coCWcFYQNpBTsDZANhB2U.html,云南数智文旅发展有限公司,酒店/旅游,合资,50-150人,"redis
shell
员工旅游
专业培训
绩效奖金
年终奖金
定期体检
五险
餐饮补贴"
https://img01.51jobcdn.com/fansImg/CompLogo/6/5765/5764393/46330153306335111867_300.png?1701073748167,ATE 测试开发专家,3-4万·13薪,上海·浦东新区,10年以上,本科,https://jobs.51job.com/all/coUTJVNlA1DjRSNARuVjA.html,上海月芯半导体科技有限责任公司,电子技术/半导体/集成电路,外资（非欧美）,150-500人,"c++
python
java
带薪年假
五险一金
包住宿
包吃
免费班车
绩效奖金
节日福利
专业培训
加班补贴"
https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_imnetwork.png,数据采集/清洗工程师,4-8千·13薪,江门,1年,大专,https://jobs.51job.com/all/coUTVXMAdmBD8Ga1c2UzA.html,广东顺畅科技有限公司,通信/电信/网络设备,民营,150-500人,"计算机
数据库
数据采集
爬虫
反爬虫
python
数据处理
java
爬虫框架
面谈
周末双休
带薪年假
节日福利"
https://img01.51jobcdn.com/fansImg/CompLogo/1/392/391513/391513_300.jpg?636553210995997797,大数据开发工程师.非晓,1.2-2.2万,重庆·渝北区,无需经验,本科,https://jobs.51job.com/all/coBGEGa1AyBD8GYlAw.html,重庆维普资讯有限公司,互联网/电子商务,民营,150-500人,"五险一金
交通补贴
通讯补贴
专业培训
绩效奖金
年终奖金
定期体检
弹性工作"
https://img01.51jobcdn.com/fansImg/CompLogo/4/3022/3021456/3021456_300.jpg?637708414147835880,市场数据分析主管,8千-1.2万·13薪,苏州·吴中区,5-7年,本科,https://jobs.51job.com/all/coAmdRNVQ1VWoBYFM1UDM.html,苏州微沃网络科技有限公司,互联网/电子商务,民营,150-500人,"爬虫
powerbi
tableau
python
sql
五险一金
年终奖金
员工旅游
专业培训
带薪年假
做五休二
周末双休
节日福利
绩效奖金
员工体检"
